report_id,client_id,generated_date,download_date,status,s3_path,next_best_action
RPT-494663B3C6,CL00014,2026-04-10 02:14:29.559953,,init,,Rebalance the portfolio immediately as Fixed Income is 17.6% overweight and Equity is 17.5% underweight versus target
RPT-EAB73C93EB,CL00031,2026-04-10 02:24:35.26965,,init,,Rebalance portfolio immediately to align with conservative target of 90% equity and 10% fixed income from current 43% equity 41% fixed income.
RPT-7FA971E6E7,CL00007,2026-04-10 02:11:48.15133,,init,,Urgently rebalance the portfolio as equity is 54% underweight and fixed income is 51% overweight versus target.
RPT-2E358A52A9,CL00001,2026-04-10 02:03:33.464248,,init,,Immediately rebalance the portfolio as the $15.4M AUM has only $1M invested versus target allocations across all accounts.
RPT-AA7570207B,CL00002,2026-04-10 02:05:55.403086,,init,,Immediately rebalance the portfolio to add fixed income holdings as the client has 100% equity exposure versus a 90% target with conservative risk profile.
RPT-0CD5159008,CL00003,2026-04-10 02:08:55.677373,,init,,Rebalance portfolio immediately to reduce Fixed Income from 94% to 40% target and increase Equity from 6% to 60% target.
RPT-98A8A5AC6F,CL00011,2026-04-10 02:10:42.030277,,init,,Schedule an immediate onboarding meeting to fund the account and establish investment allocations for this new client.
RPT-7D0B474EFD,CL00006,2026-04-10 02:12:00.149377,,init,,Immediately rebalance the portfolio to address the critical 48% underweight in Equities and 8% overweight in Alternatives versus target.
RPT-1C1302CD0E,CL00012,2026-04-10 02:12:22.376966,,init,,Immediately rebalance the portfolio as it shows 48% Fixed Income versus 0% target and only 40% Equity versus 85% target for an Aggressive profile.
RPT-1D7539F1BD,CL00010,2026-04-10 02:12:31.504935,,init,,Immediately rebalance the portfolio to address the critical 21% underweight in equities and 11% overweight in fixed income.
RPT-01D796FCEB,CL00013,2026-04-10 02:18:06.659331,,init,,Rebalance portfolio immediately to shift 26% from Fixed Income to Equity given 56% vs 40% actual and 50% target allocations.
RPT-E7A0DABD0A,CL00004,2026-04-10 02:12:30.757654,,init,,Immediately rebalance the portfolio to address the critical misalignment between current holdings and the conservative target allocation
RPT-BCE4F08F16,CL00009,2026-04-10 02:11:57.638371,,init,,Immediately rebalance portfolio to eliminate the 38% alternative investments allocation violating the client's restriction
RPT-89B809D6D3,CL00005,2026-04-10 02:11:58.392522,,init,,Immediately rebalance the portfolio to eliminate the 10.4% Alternative allocation that violates the client's no alternative investments restriction.
RPT-91F76C1282,CL00008,2026-04-10 02:11:44.054402,,init,,Immediately rebalance the portfolio from 88% Fixed Income to 90% Equity to align with the conservative target allocation.
RPT-E58300BD94,CL00017,2026-04-10 02:13:36.403621,,init,,Schedule an onboarding meeting to fund the account and establish investment plan for this new client with zero AUM.
RPT-D30BA72BC7,CL00016,2026-04-10 02:14:31.082083,,init,,Immediately address the critical mismatch between the $133.6M AUM and $972K portfolio plus the client restriction violation on alternatives.
RPT-5876E6BE2A,CL00015,2026-04-10 02:14:44.827328,,init,,Urgently rebalance portfolio to align with target allocation as current holdings show severe drift from aggressive risk profile objectives.
RPT-146E5CE6C8,CL00018,2026-04-10 02:15:22.651231,,init,,Rebalance portfolio immediately as equity is 40% underweight and alternatives violate the no-alternatives restriction
RPT-0FB112CC10,CL00019,2026-04-10 02:14:34.466326,,init,,Rebalance portfolio immediately as equity allocation is 73% versus 55% target with 18% drift beyond tolerance bands.
RPT-60D4E26B60,CL00020,2026-04-10 02:16:01.513529,,init,,Rebalance the portfolio immediately to reduce equity overweight and increase fixed income to target allocation
RPT-8C2C58B35E,CL00021,2026-04-10 02:14:43.364593,,init,,Urgently address the severe portfolio misalignment with 100% fixed income versus 55% equity target for this aggressive risk profile client.
RPT-8177C31185,CL00022,2026-04-10 02:15:19.129152,,init,,Immediately rebalance the portfolio as fixed income is 74% versus 10% target allocation for this aggressive risk profile.
RPT-5067B1DAEA,CL00024,2026-04-10 02:17:34.908828,,init,,Immediately rebalance the portfolio to reduce Fixed Income from 89% to target 40% and increase Equity from 10% to target 50%.
